Publication Year,,,Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,
name,count,,name,count,,name,count,,name,count,,name,count,
,,,,,,,,,Consejo Nacional de Investigaciones Científicas y Técnicas,34,,,,
,,,,,,,,,Université Paris Sciences et Lettres,34,,,,
,,,,,,,,,Universidade Federal do Cariri,34,,,,
,,,,,,,,,"Ministerio de Ciencia, Tecnología e Innovación",34,,,,
,,,,,,,,,Argentine-German Geodetic Observatory,34,,,,
,,,,,,,,,Monash University,34,,,,
,,,,,,,,,King's College London,33,,,,
,,,,,,,,,Sorbonne Université,33,,,,
,,,,,,,,,Universidade do Vale do Itajaí,33,,,,
,,,,,,,,,Institut polytechnique de Grenoble,32,,,,
,,,,,,,,,Institut Mines-Télécom,32,,,,
,,,,,,,,,National Research Council,32,,,,
,,,,,,,,,Universidade Federal Rural do Semi-Árido,32,,,,
,,,,,,,,,École de Technologie Supérieure,32,,,,
,,,,,,,,,Max Planck Society,31,,,,
,,,,,,,,,Istituto Nazionale di Fisica Nucleare,31,,,,
,,,,,,,,,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",31,,,,
,,,,,,,,,Universidade Estadual da Paraíba,30,,,,
,,,,,,,,,University of Bologna,30,,,,
,,,,,,,,,Universidade Federal do Oeste do Pará,29,,,,
,,,,,,,,,Universidade do Estado da Bahia,29,,,,
,,,,,,,,,University of Waterloo,29,,,,
,,,,,,,,,University of the Basque Country,29,,,,
,,,,,,,,,Chinese Academy of Sciences,29,,,,
,,,,,,,,,Universidade Federal de Alfenas,29,,,,
,,,,,,,,,Board of the Swiss Federal Institutes of Technology,29,,,,
,,,,,,,,,Instituto Federal Fluminense,29,,,,
,,,,,,,,,Instituto Federal Goiano,29,,,,
,,,,,,,,,"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas",29,,,,
,,,,,,,,,University of Sheffield,29,,,,
,,,,,,,,,Instituto Federal do Rio Grande do Norte,28,,,,
,,,,,,,,,Fundação de Apoio à Universidade Federal de São Paulo,28,,,,
,,,,,,,,,Universidade Paulista,28,,,,
,,,,,,,,,Instituto do Sono,28,,,,
,,,,,,,,,Carnegie Mellon University,28,,,,
,,,,,,,,,The University of Texas at Austin,28,,,,
,,,,,,,,,University of Vienna,27,,,,
,,,,,,,,,University of Washington,27,,,,
,,,,,,,,,University of Cambridge,27,,,,
,,,,,,,,,Universidade Brasil,27,,,,
,,,,,,,,,São Paulo State Technological College,27,,,,
,,,,,,,,,UNSW Sydney,27,,,,
,,,,,,,,,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",27,,,,
,,,,,,,,,Instituto Federal do Piauí,27,,,,
,,,,,,,,,Universidade Estadual do Maranhão,27,,,,
,,,,,,,,,New York University,27,,,,
,,,,,,,,,University of Tübingen,27,,,,
,,,,,,,,,Instituto Federal da Bahia,26,,,,
,,,,,,,,,Centro Universitário FEI,26,,,,
,,,,,,,,,École Polytechnique,26,,,,
,,,,,,,,,Vale (Brazil),26,,,,
,,,,,,,,,Free University of Bozen-Bolzano,26,,,,
,,,,,,,,,Aarhus University,26,,,,
,,,,,,,,,University of Oxford,26,,,,
,,,,,,,,,Universidade de Sorocaba,26,,,,
,,,,,,,,,Centro de Tecnologia da Informação Renato Archer,26,,,,
,,,,,,,,,Eindhoven University of Technology,26,,,,
,,,,,,,,,Russian Academy of Sciences,25,,,,
,,,,,,,,,Austrian Academy of Sciences,25,,,,
,,,,,,,,,Université de Montpellier,25,,,,
,,,,,,,,,Université Paris Cité,25,,,,
,,,,,,,,,Universidade Estadual do Paraná,25,,,,
,,,,,,,,,Technology Innovation Institute,25,,,,
,,,,,,,,,"Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro",25,,,,
,,,,,,,,,Universidade Cidade de São Paulo,25,,,,
